第一章危害国家安全罪,,,,,,,,,,,,,,,
64,教育设施重大安全事故罪,刑法第138条,,,,,,,,,,,,,
65,消防责任事故罪,刑法第139条,,,,,,,,,,,,,
66,不报、谎报安全事故罪,刑法第139条之一,,,,,,,,,,,,,
第三章破坏社会主义市场经济秩序罪,,,,,,,,,,,,,,,
第一节生产、销售伪劣商品罪,,,,,,,,,,,,,,,
67,[生产、销售]伪劣产品,刑法第140条,,,,,,,,,,,,,
68,[生产、销售]假药,刑法第141条,生产、销售、提供劣药罪,,,,,,,,,,,,
69,生产、销售、提供劣药罪,刑法第142条,生产、销售、提供假药罪,,,,,,,,,,,,
70,妨害药品管理罪,刑法第142条之一,,,,,,,,,,,,,
71,[生产、销售]不符合安全标准的食品,刑法第143条,,,,,,,,,,,,,
72,[生产、销售][有毒、有害]食品,刑法第144条,[生产、销售]不符合安全标准的食品,投放危险物质罪,,,,,,,,,,,
73,生产、销售不符合标准的医用器材罪,刑法第145条,,,,,,,,,,,,,
74,生产、销售不符合安全标准的产品罪,刑法第146条,,,,,,,,,,,,,
75,[生产、销售]伪劣[农药、兽药、化肥、种子],刑法第147条,,,,,,,,,,,,,
76,生产、销售不符合卫生标准的化妆品罪,刑法第148条,,,,,,,,,,,,,
第二节走私罪,,,,,,,,,,,,,,,
77,走私[武器、弹药],刑法第151条第1款,,,,,,,,,,,,,
78,走私核材料罪,刑法第151条第1款,,,,,,,,,,,,,
79,走私假币罪,刑法第151条第1款,,,,,,,,,,,,,
80,走私文物罪,刑法第151条第2款,,,,,,,,,,,,,
81,走私贵重金属罪,刑法第151条第2款,,,,,,,,,,,,,
82,走私[珍贵动物、珍贵动物制品],刑法第151条第2款,,,,,,,,,,,,,
83,走私国家禁止进出口的[货物、物品],刑法第151条第3款,,,,,,,,,,,,,
84,走私淫秽物品罪,刑法第152条,,,,,,,,,,,,,
85,走私普通[货物、物品],刑法第153条,,,,,,,,,,,,,
86,走私废物,刑法第152条第3款,,,,,,,,,,,,,
